post_id,chunk_num,cluster,z0,z1,z2,z3,z4
lc7aj4,0,-1,11.520249,10.176333,10.322124,-0.28396022,9.739444
l8q7yg,0,-1,11.060429,9.9860115,9.87345,-0.19713856,10.654449
l70zah,0,-1,11.4211035,9.091762,11.08176,-0.059767324,7.91419
l71n3m,0,-1,10.93525,10.059787,10.542604,1.5001292,9.25162
l6wyy7,0,-1,10.73695,10.322493,9.951429,1.9377029,8.488021
l6zlpu,2,27,10.606525,10.6896715,9.278572,-0.22728755,11.305042
l78fuh,0,21,10.296876,11.747662,10.843379,0.42031887,9.283807
l9tzs0,0,-1,11.585623,9.63375,9.948613,-0.27275574,10.089004
l6ywsj,1,-1,8.853752,8.835197,11.550713,-0.45150584,8.322685
lbte8n,3,-1,11.481726,9.21397,10.629374,0.9768282,8.497609
l733d9,0,17,9.833283,11.003743,11.680718,-0.64462245,7.195104
l7h7gt,0,-1,10.77637,9.5203705,11.188708,1.432198,8.430214
lbgk5d,1,-1,10.3948345,9.74636,11.274826,1.6862664,8.221954
l7x6j1,11,33,10.470785,9.242241,10.724386,1.9887155,8.234022
laykjw,1,-1,10.752426,9.879475,10.696843,1.286652,8.312335
l6zqcg,0,-1,10.538965,9.674762,10.4529505,2.0019977,8.9227295
l7kr8s,1,33,10.140612,9.553727,11.789112,-0.099430785,7.813904
l79jq6,0,15,8.244054,12.316104,9.15051,0.72332704,8.154626
l8o47g,3,33,11.478283,9.034433,11.769876,-1.1539972,8.650298
lbj2b5,1,-1,11.231904,8.947871,11.565094,-0.12814508,8.377127
l71uij,0,33,9.472081,9.869728,12.506967,0.25397608,8.009619
lbhu8u,4,27,11.327681,10.95818,9.545241,1.3134706,10.289689
l99ggh,0,33,9.757151,9.577618,11.798634,-0.20174964,7.8574114
l70dkw,0,25,10.883504,10.302844,10.495327,0.7143629,10.274659
l74mu8,0,33,11.307131,9.863289,11.647691,-0.730711,8.133852
lamill,2,33,11.366196,9.903988,11.393121,-0.79181176,8.28451
lahtvs,2,33,9.402432,9.424877,12.115632,1.2089875,8.746803
l6s2vf,1,33,9.489556,9.675396,12.327353,0.043901976,8.233505
l97kc9,0,-1,11.547085,9.5405245,10.786381,0.42587382,7.8954916
l6zrfg,1,33,11.477701,9.093776,10.938758,1.4747235,7.892097
l6wvde,0,-1,10.465983,9.596014,11.293595,0.71392673,7.3299556
l8v1we,0,31,9.420758,11.301437,11.665264,0.675693,8.680037
lc7j22,0,-1,11.354909,9.405112,10.916383,-0.47654572,8.406586
lc2dpx,2,-1,10.223906,9.481725,11.0701885,1.8965503,8.256159
la6dvr,0,-1,10.885237,8.617214,11.090031,-0.81728184,8.683884
l72hse,0,-1,10.7276945,9.802589,11.640593,-0.70378613,7.8752685
laykev,0,-1,9.392919,9.60816,11.5858965,0.8927311,8.557109
l806ec,1,-1,10.408563,9.865305,9.9674425,0.6573198,7.8658543
l6wywd,0,-1,11.397654,9.077619,11.167367,-0.45782423,7.8918204
l71tjp,0,33,10.624458,9.065073,10.035455,1.375295,8.161844
l718b2,0,-1,10.014509,9.399779,12.017116,-0.20422134,7.4736905
l72ss4,0,15,7.6140065,11.935862,10.481036,0.7214636,9.135249
l71ddj,0,18,9.491955,8.803691,10.471458,0.99278724,8.255361
lbcin7,1,-1,10.016787,9.215007,11.014143,-0.108125165,8.114523
l6py0p,1,15,7.6232367,12.023709,10.165104,0.8723138,8.845256
l7oz28,1,15,7.5803,11.916185,10.506145,0.711168,9.105646
l9qopx,2,-1,10.838688,8.58476,11.136004,-0.7832501,8.604281
l72eg4,0,33,11.480235,9.692322,11.302726,-0.6678738,7.9575763
l6zub8,0,-1,10.562945,10.085042,10.595612,1.0289631,9.146785
